,Unnamed: 0,content,negaposi
0,0,06月09日 13:48　閑静な西口エリアにある和食居酒屋！4名様から中団体も大歓迎!コロナ明けで安心個室のご利用をどうぞ♪☆平日宴会もアリ!コロ… https://t.co/ph6mCQ7D8V https://t.co/AiaO0Kk3m7,0.15384615384615385
1,1,"@2002ananan えー😱キモ

店名さらしたら…
被害者増えるで～これ

それか保健所に伝えるか！
コロナ禍だから応えてくれると思う！(^ー^)",-0.2222222222222222
2,2,"@tokainoaozora 入った時期にもよる
バブル勢は月25万に賞与12ヶ月分と固定昇給あり、手当有り、退職金有り、社員旅行付の無期限雇用
コロナ勢は月17万に賞与無し、昇給無し、手当無し、退職金無し、労災有り、違法残業あり、パワハラあり、ビジネスマナー合宿付の不安定雇用",0.1
3,3,【ワクチン】 米ノババックス製ワクチン15日から予約開始 24日まで、最大160人接種可 鹿児島県･新型コロナ:… https://t.co/hDCE1ijteu | #ワクチン,0.14285714285714285
4,4,@safe_installer ウチのバリカンコロナとおんなじですね😊,0.0
5,5,【ワクチン】 新型コロナワクチン職域接種（3回目）について（7月実施分） - 神戸大学: 2022年06月9日 掲示. 学生・教職員 各位. 新型コロナワクチンは任意接種となります。神戸大学でワクチン接種を希望する方は、必ずこのページを最後まで ... https://t.co/rMVXARuXBI | #ワクチン,0.08333333333333333
6,6,"LowLayerの高速化や量子コンピューティングのFixstarsが週足の一目均衡雲抜け
コロナ禍で受託が落ち込んでいましたが、案件の開発が動き始めているようです
#フィックスターズ https://t.co/k8UKzV0Fp4",-0.14285714285714285
7,7,"英ケンブリッジ大が衝撃報告「コロナ後遺症で脳が20年老化しIQが10下がる」(女性自身)
#Yahooニュース
https://t.co/d8uoeet043",-0.125
8,8,「コロナ災害を乗り越える いのちとくらしを守る なんでも電話相談会～住まい・生活保護・労働・借金 etc…～」【第14弾】実施のお知らせ https://t.co/sJzg9gTgex,0.0
9,9,高齢出産だから下手したら他のママさんの親でもおかしくない世代の粗顔のばばあだけど気にせずマスクしないでお迎え行ってますよ！すみませんねえ👵🏻子供たちとプールで水着でキャッキャして遊んだりもしますよ👵🏻,-0.1111111111111111
10,10,コロナな真っ最中の時はネット閉鎖かなり凄かったんですよ。僕のは皆様の携帯と違うんです。海外とアクセス出来たんです。アクセスするのが大変だったと言ってました。皆様は多分知らないです。,-0.2
11,11,ANA国内線、羽田発着便で2年4か月ぶりに”コロナ減便完全撤廃”へ 「コロナ前より便数増」も 7月から #SmartNews  https://t.co/tfhRm1mjhF,0.2
12,12,コロナ信者は平気で嘘をつくのですね。 https://t.co/Wul9BjtN6f,0.0
13,13,世界中がコロナで困窮し、何もかも値上げの中で、貨幣的には円が犠牲になっている。20年前を思い出すよ。,-0.5
14,14,@livedoornews @momoo_t ホントの原因はコロナ禍じゃなくて、景気低迷による地元スポンサー収入の減少と両自治体の財政状況が原因と邪推してる。,-0.10714285714285714
15,15,これ微々たる誤差ではなく、ちゃんと集計した結果はワクチンの効果が明らかにあったのは８０代以上だけで、後はワクチン未接種者と接種者の陽性者数はほぼ変わらず４０、６０，７０代に至ってはワクチン接種者の方がコロナになっているというデータになるんですよ。こんな弁明ですむ事なのでしょうか。 https://t.co/K0JEJkOiEq,-0.05555555555555555
16,16,この人の絵良いよなぁ・・・俺の絵にないものがある,0.0
17,17,"やっと始まったねーー。
西新も結構な数の店が不正やってたから、震えて眠れってやつか。

栃木・コロナ協力金約８００万円返還　不正受給などで飲食店(下野新聞SOON)
#Yahooニュース
https://t.co/0NtxicabXM",-0.06666666666666667
18,18,"#コロナ #自宅療養

#埼玉県
#配食サービス
#たくさん
#ありがたい

たぶん1人分？
めちゃくちゃきたー！！
ありがてぇ🙏✨

これがあと3箱来たら心強いな！！ https://t.co/iwP8IUjaAG",0.05263157894736842
19,19,@ironboy1203_ 俺もです、10月～5月まではマスクしてました。コロナ前から(*･ω･),0.0
20,20,"新型コロナウイルス感染に対する標語

➡️Always wear a mask　　マスクをしろ
➡️Wash/sanitize hands regularly　手を洗え
➡️Maintain distancing　距離を保て
➡️Get yourself fully vaccinated　ワクチンをしろ https://t.co/95N0KGm3fE",0.0
21,21,今感染者数が落ち着いているけどコロナが終息しかけていると思ってはいけない🙁他所の国で大量の感染者数が出て再拡大していたので日本もまたいつかそうなってもおかしくない🙁,0.0
22,22,"@nininiiiish 腹黒いww
日本語見にくい難しい✨💪🏿
コロナも相まってか在宅勤務からの運動不足とか不摂生な食事とか不定期な睡眠で周りがバタバタ病気なってて他人事じゃないです😅💦
自分大切に、健康管理ガンバります😤💕",0.0
23,23,国民の更なる弱体化をのためコロナを利用して薬を接種させたと考えると整合性がある。たくさん買わせて利益が出れば一石二鳥ですよね。人間として扱っていないのは間違いありませんね。#コロナワクチン薬害,0.0
24,24,"岩手県新型コロナウイルス感染症対策に係る知事メッセージ（「岩手緊急事態宣言」解除）
https://t.co/5spHGgxMxO",-0.2
25,25,"モヤモヤ、、
そっか、、
いかなる理由であろうとコロナワクチン未接種は雇ってもらえないことってあるのか、、
9割採用が決まって話しを詰めていたのに大どんでん返し！
この気持ちは初めてだなー
何年後かに笑い話になることを願う",0.16666666666666666
26,26,こういった事がコロナ後に多くなりました…つまり、打ち合わせがZOOMなどになりコロナ以降にお声がけくださったCLは弊社を直に見ていない為、恐らく大きな素敵事務所と勘違いされたきらいがあります。弊社はいわば街中華です。もしくは小スペースを間借りして営業しているタピオカ屋です。悪しからず！,0.0
27,27,"YUZU'LL BE BACK IV 
羽生結弦写真集2021~2022
7/6日発売

表紙4P(見返し付き)+本文160P+カバー
#羽生結弦

#羽生結弦写真集
#フィギュアスケート

Amazon　　　　
https://t.co/mVXWw9F40C🔻
　　　　
楽天ブックス　　　
https://t.co/qQgUikIci6🔻

.",0.0
28,28,"@wata36760884 アプデあってできる事増えたからPCへの負荷増えておじじPCが耐えれないんだと思う😖
げぼくもゆっくりやすんでーっ( இ﹏இ )",0.3333333333333333
29,29,@pimeco 資料も情報も何も貰ってない通訳は大変よね…コロナ前に海外の先生呼んで講習会やってたけど、たまたま臨時の通訳の人で医療系の知識ない人来たら全然通訳進まんかった…今の単語は何ですか？とか聞きまくってたなぁ,-0.4
30,30,"消しゴムをくれた女子を好きになった。

#大橋和也 ( なにわ男子 ) 
主演ドラマの原作 #消し好き 

はっすん 俺かわ 
#消しゴムをくれた女子を好きになった

Amazon
🔻https://t.co/NzqizVYvdC🔻",0.2
31,31,"🍀2022年05月iHerb最新コード🍀
⏩ASC7218⏪入力でアイハーブ割引が適用されます。

上記コードで【誰でも５％割引】
初回利用なら【５ドル割引】

更にiHarbセールやプロモーションでお得に☆

コロナ対策、高濃度ビタミンC、免疫力サプリやコスメ、プロテイン購入等全商品おすすめ✌657312",0.3
32,32,この職業である限りコロナ終わるまで県外イベントには行けないのである……福岡行きたかったでござる………,-0.5
33,33,"銀行巡り

そのうちの一軒、こないだまでマスクしてくれと圧力かけてきた銀行が今日は黙認した

警備の人もガン見しながらも今日は黙認した🤣

非科学的な事を「ルールだから」とほぼ強制に近い形でマスクを強いていた銀行

経済回したいならこういう大きな銀行から率先してマスクを外さなきゃね",-0.4
34,34,"なんぞー、これ⑥

新型コロナウイルス感染症の県内発生状況。
いつまで新型ぞー。

それに、
軽症・中等症　無症状含む43人
このくらい分けや。
文中に「重い中等症の目安とされる酸素投与中の患者は3人」とある。

真面目に発表せい💢 https://t.co/tuHcSMygTj",-0.23076923076923078
35,35,"YUZU'LL BE BACK IV 
羽生結弦写真集2021~2022
7/6日発売
　　
表紙4P(見返し付き)+本文160P+カバー
#羽生結弦

#羽生結弦写真集
#フィギュアスケート

Amazon　　　
https://t.co/mVXWw9F40C🔻

楽天ブックス
https://t.co/qQgUikIci6🔻

.",0.0
36,36,"@fseiichizb4 先週コロナ禍を怖がり、家から買い物以外出なかった 長い御付き合いのある知人さんに会いましたら(３回接種)、
２度目の帯状疱疹にかかったそうです。首には 跡が残っていました😥
本人は コロナ禍によるストレスだと言っておりました… それもありますか？🤔",-0.2857142857142857
